recent_s4_density_prev5,predicted_recovery_fit,predicted_recovery_low,predicted_recovery_high
0.49,0.16977566955809392,0.11502716302912165,0.24341496275014912
0.5,0.16645280244868518,0.11187263736636426,0.24045201526698962
0.51,0.16307678456651375,0.10874320681462493,0.23732907930232605
0.52,0.15965288707735797,0.10564161839973953,0.23405183230153592
0.53,0.15618811682108813,0.10257070847633441,0.23063042370061035
0.54,0.1526893867552891,0.09953279425130131,0.22707586692017656
0.55,0.14916349658820133,0.09652977289613066,0.22339986441418913
0.56,0.14561711397737992,0.09356320580425805,0.21961464622860574
0.5700000000000001,0.14205675641204485,0.09063439037948463,0.2157328200256156
0.58,0.13848877389496564,0.08774442129622916,0.21176723108155285
0.59,0.1349193325356377,0.0848942427897375,0.20773083124608474
0.6,0.13135439916053887,0.08208469321024825,0.2036365562571283
0.61,0.1277997270385297,0.07931654280400666,0.19949721114254096
0.62,0.12426084281012463,0.07659052546048589,0.19532536370885994
0.63,0.12074303469861271,0.07390736498441844,0.1911332463222421
0.64,0.11725134206904786,0.0712677963093306,0.18693266633016886
0.65,0.11379054638820466,0.06867258196302427,0.1827349255574739
0.66,0.11036516362495186,0.06612252402224164,0.17855074934011367
0.67,0.10697943811639295,0.06361847175116517,0.17439022553872746
0.68,0.10363733791082513,0.06116132510391981,0.17026275390622775
0.6900000000000001,0.10034255158433102,0.058752034281925186,0.16617700607519592
0.7000000000000001,0.097098486513885,0.056391595569143034,0.16214089628879375
0.71,0.09390826857647067,0.054081043717559854,0.15816156283139962
0.72,0.0907747432310654,0.05182144121635997,0.15424535993141114
0.73,0.08770047792864517,0.0496138648452137,0.15039785971854924
0.74,0.0846877657847649,0.04745938997860193,0.14662386363164745
0.75,0.08173863043987936,0.04535907316772246,0.1429274225001595
0.76,0.07885483202451748,0.043313933573425896,0.1393118643724037
0.77,0.07603787413974371,0.04132493385284124,0.1357798290433141
0.78,0.0732890117580895,0.03939296111033123,0.13233330814969707
0.79,0.07060925994630572,0.037518808508293686,0.12897368965479503
0.8,0.06799940330885877,0.03570315809503992,0.12570180553713203
0.81,0.06546000605001516,0.03394656534730225,0.12251798152938147
0.8200000000000001,0.06299142255256145,0.03224944584715468,0.11942208781762081
0.8300000000000001,0.060593808372602816,0.030612064421807705,0.11641358970431473
0.84,0.05826713155236186,0.029034526975132,0.11349159735306692
0.85,0.05601118415635153,0.027516775137394773,0.11065491386249421
0.86,0.053825593940595454,0.02605858375986905,0.10790208105330822
0.87,0.051709836069578546,0.024659561188352837,0.10523142249029473
0.88,0.0496632448012178,0.02331915216801871,0.10264108339355078
0.89,0.04768502506620346,0.02203664316404642,0.10012906721657693
0.9,0.04577426387445273,0.02081116982976777,0.09769326877915223
0.91,0.04392994148803469,0.01964172631703677,0.0953315039383403
0.92,0.042150942306639946,0.018527176101790804,0.09304153586039735
0.93,0.04043606541839035,0.01746626399009115,0.09082109801977657
0.9400000000000001,0.03878403477542165,0.016457628974579242,0.0886679140996066
0.9500000000000001,0.03719350896014336,0.015499817626196078,0.08657971500220889
0.96,0.035663090514313385,0.01459129772896616,0.08455425320005745
0.97,0.03419133480901252,0.013730471894447106,0.08258931466894041
0.98,0.032776758439205966,0.012915690925027647,0.08068272864776346
0.99,0.03141784713181688,0.012145266729784797,0.07883237546529592
1.0,0.030113063161061018,0.011417484631506237,0.07703619266479317
