candidate,cluster,size,pct,players,primary_mode_top,primary_mode_top_pct,duration_minutes_median,days_since_previous_session_median,jobs_started_median,jobs_resumed_median,tasks_completed_median,items_purchased_median,job_completion_ratio_median,job_exit_ratio_median,progression_gain_median,mode_diversity_median,first_session_mean,no_started_or_resumed_job_mean,purchase_any_mean,long_over_12h_pct,completion_ratio_gt_1_pct,exit_ratio_gt_1_pct,PC1_mean,PC2_mean,PC3_mean,PC4_mean,PC5_mean
pc1_pc5_gmm_diag_k5,2,35784,33.81655294940369,6154,Career,81.56718086295551,28.73333333333333,0.7417592592592592,0.0,1.0,0.0,0.0,0.0,1.0,0.06225256499999995,1.0,0.019897160742231166,5.58909009613235e-05,0.07184775318578135,0.18443997317236754,0.00558909009613235,0.002794545048066175,1.4272034758442707,1.0763137813183947,-0.5185719083535859,-0.06900334774032353,0.2610084529786131
pc1_pc5_gmm_diag_k5,3,7158,6.764444612447789,3293,Career,67.77032690695725,92.15,0.7401851851851852,3.0,1.0,3.0,0.0,0.6,1.0,1.0,2.0,0.1138586197261805,0.0,0.43112601285275215,0.9918971779826767,0.11176306230790724,0.4191114836546521,-1.7785087979686665,-0.3957417170828437,0.8722356985344865,-3.3050964559792533,-0.04940477346686725
pc1_pc5_gmm_diag_k5,4,7522,7.10843145778601,3988,(missing),99.02951342727998,0.65,2.589976851851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09611805370911991,0.999734113267748,0.007178941770805637,0.09306035628822122,0.0,0.0,5.062607204082031,-3.0290869674443655,1.2649936868694298,0.11388483525360209,-0.8015743027229827
pc1_pc5_kmeans_k6,0,12608,11.914797104462378,5070,Career,94.4876269035533,181.20833333333331,0.8076157407407407,4.0,1.0,5.0,3.0,0.8421052631578947,1.0,1.0,1.0,0.016021573604060913,0.0,0.9068845177664975,2.1256345177664975,0.26173857868020306,0.38864213197969544,-2.794772348035618,-0.5961966925743187,1.0813143193619006,-0.02395929216429691,-0.06212987868078144
pc1_pc5_kmeans_k6,1,20684,19.546768980702716,5239,Career,55.598530264939086,36.69166666666666,1.1094675925925923,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.019773738155095727,0.0,0.06198027460839296,0.2610713595049313,0.024173274028234385,0.043511893250821894,0.9689445565262488,0.3078777429782646,-0.4254743940941666,-0.1296111807117258,1.2268817827364533
pc1_pc5_kmeans_k6,2,35633,33.67385510971668,6310,Career,93.68001571576909,72.91666666666667,0.6871296296296296,1.0,1.0,2.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0012348104285353463,0.0,0.3903684786574243,0.35360480453512194,0.10383633149047232,0.19083433895546262,-1.0297682676201914,0.3228336736214661,0.387906937941477,0.163649987568146,-0.2570945700683848
pc1_pc5_kmeans_k6,3,19732,18.64711107751044,4302,Career,99.1485911210217,26.816666666666663,0.5410185185185186,0.0,1.0,0.0,0.0,0.0,1.0,0.17522375,1.0,0.005625380093249544,0.0,0.06877153861747415,0.16217311980539226,0.0,0.0,1.5340827791573497,1.583053000851822,-0.42035441196356904,-0.16431252062113788,-0.41618964889292887
pc1_pc5_kmeans_k6,4,9580,9.05328016027519,9354,Career,93.45511482254697,60.49166666666666,0.13091435185185185,2.0,0.0,2.0,0.0,0.75,1.0,1.0,1.0,0.9747390396659708,0.0,0.4364300626304802,0.49060542797494777,0.15657620041753653,0.3757828810020877,-1.7391057661953746,-1.952689628391212,-2.0738467663641735,-0.04791810629975879,-0.12247002605184472
pc1_pc5_kmeans_k6,5,7581,7.16418756733259,4005,(missing),98.28518665083762,0.65,2.5461921296296297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09629336499142593,0.9926131117266851,0.007782614430813877,0.09233610341643582,0.0,0.0,5.049292320112556,-3.0187129403455297,1.2540428423551222,0.11250316919680828,-0.7976416656027977
pc1_pc5_kmeans_k7,0,21734,20.539038726870665,4914,Career,58.50740774822858,51.71666666666667,0.9150405092592593,1.0,0.0,1.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.1483390080058894,0.3266770957946075,0.09662280298150364,0.16103800496917273,0.2085655643007644,-0.06732064872434904,-0.4103165170341437,0.14277342362956727,1.1557329653982031
