candidate,space,model,k,cluster,primary_game_mode,sessions,pct_within_cluster
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,4,Career,77,1.0154292496373467
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,4,FreePlay,31,0.4088091784254253
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,4,Special,13,0.17143610708162996
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,4,Challenge,11,0.1450613213767638
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,5,Career,3666,92.1105527638191
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,5,FreePlay,233,5.8542713567839195
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,5,Challenge,51,1.2814070351758795
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,5,Special,30,0.7537688442211055
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,6,Career,8928,96.3314630988347
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,6,Special,327,3.528269313767803
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,6,FreePlay,9,0.09710832973672853
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,6,(missing),4,0.04315925766076824
