session_id,label
p10038_s0021,2
p10038_s0022,0
p10038_s0023,2
p10038_s0024,0
p10038_s0025,0
p10038_s0026,2
p10038_s0027,2
p10038_s0028,2
p10038_s0029,0
p10038_s0030,0
p10038_s0031,2
p10038_s0032,0
p10038_s0033,2
p10038_s0034,0
p10038_s0035,0
p10039_s0001,1
p10039_s0002,0
p1004_s0001,1
p1004_s0002,2
p1004_s0003,2
p10040_s0001,1
p10040_s0002,2
p10040_s0003,0
p10040_s0004,0
p10040_s0005,0
p10040_s0006,0
p10040_s0007,0
p10040_s0008,0
p10040_s0009,2
p10040_s0010,0
p10040_s0011,0
p10040_s0012,0
p10040_s0013,0
p10040_s0014,0
p10040_s0015,0
p10041_s0001,1
p10041_s0002,2
p10042_s0001,1
p10042_s0002,0
p10042_s0003,2
p10042_s0004,2
p10042_s0005,0
p10042_s0006,1
p10042_s0007,0
p10042_s0008,0
p10042_s0009,0
p10042_s0010,0
p10043_s0001,1
p10043_s0002,0
p10043_s0003,0
p10044_s0001,1
p10044_s0002,0
p10045_s0001,1
p10045_s0002,2
p10045_s0003,0
p10045_s0004,0
p10045_s0005,0
p10045_s0006,0
p10045_s0007,1
p10045_s0008,2
p10045_s0009,0
p10045_s0010,0
p10045_s0011,0
p10045_s0012,0
p10045_s0013,2
p10045_s0014,0
p10045_s0015,2
p10045_s0016,2
p10045_s0017,2
p10045_s0018,0
p10045_s0019,2
p10045_s0020,2
p10045_s0021,2
p10045_s0022,2
p10045_s0023,0
p10045_s0024,2
p10045_s0025,0
p10045_s0026,0
p10045_s0027,0
p10045_s0028,2
p10045_s0029,2
p10045_s0030,2
p10045_s0031,2
p10045_s0032,2
p10045_s0033,2
p10045_s0034,2
p10045_s0035,0
p10045_s0036,2
p10046_s0001,1
p10046_s0002,0
p10046_s0003,2
p10046_s0004,0
p10046_s0005,2
p10046_s0006,0
p10046_s0007,0
p10047_s0001,1
p10048_s0001,1
p10048_s0002,0
p10048_s0003,2
p10049_s0001,1
p10049_s0002,0
p1005_s0001,2
p10050_s0001,2
p10051_s0001,1
p10051_s0002,2
p10051_s0003,0
p10051_s0004,0
p10051_s0005,0
p10051_s0006,0
p10051_s0007,0
p10051_s0008,2
p10051_s0009,0
p10051_s0010,2
p10051_s0011,0
p10051_s0012,2
p10052_s0001,1
p10052_s0002,0
p10053_s0001,1
p10053_s0002,2
p10053_s0003,2
p10053_s0004,2
p10053_s0005,0
p10053_s0006,0
p10053_s0007,2
p10053_s0008,0
p10053_s0009,2
p10053_s0010,0
p10053_s0011,0
p10053_s0012,2
p10053_s0013,0
p10053_s0014,0
p10053_s0015,0
p10054_s0001,1
p10054_s0002,2
p10054_s0003,2
p10055_s0001,1
p10056_s0001,1
p10057_s0001,1
p10057_s0002,2
p10057_s0003,2
p10057_s0004,0
p10057_s0005,0
p10057_s0006,0
p10057_s0007,0
p10057_s0008,0
p10057_s0009,2
p10057_s0010,0
p10057_s0011,0
p10057_s0012,2
p10057_s0013,0
p10057_s0014,0
p10057_s0015,0
p10057_s0016,0
p10057_s0017,2
p10057_s0018,0
p10057_s0019,2
p10057_s0020,0
p10058_s0001,1
p10058_s0002,0
p10059_s0001,1
p10059_s0002,0
p10059_s0003,0
p10059_s0004,2
p10059_s0005,2
p10059_s0006,2
p10059_s0007,0
p10059_s0008,2
p10059_s0009,2
p10059_s0010,0
p10059_s0011,0
p10059_s0012,2
p10059_s0013,2
p10059_s0014,2
p10059_s0015,2
p10059_s0016,0
p10059_s0017,2
p10059_s0018,2
p10059_s0019,2
p10059_s0020,2
p10059_s0021,2
p10059_s0022,2
p10059_s0023,2
p10059_s0024,2
p1006_s0001,1
p1006_s0002,0
p10060_s0001,1
p10060_s0002,0
p10060_s0003,0
p10060_s0004,0
p10060_s0005,0
p10060_s0006,0
p10060_s0007,0
p10060_s0008,0
p10060_s0009,2
p10060_s0010,2
p10061_s0001,1
p10061_s0002,2
p10061_s0003,2
p10062_s0001,1
p10062_s0002,0
p10063_s0001,1
p10063_s0002,2
p10064_s0001,1
p10064_s0002,2
p10064_s0003,0
p10064_s0004,0
p10064_s0005,0
p10064_s0006,0
p10064_s0007,2
p10065_s0001,1
p10066_s0001,1
p10066_s0002,0
p10066_s0003,2
p10066_s0004,0
p10066_s0005,2
p10066_s0006,2
p10066_s0007,2
p10067_s0001,1
