login_date_utc,sessions,pct,all_sessions,minimal_share_of_day_sessions_pct
2023-03-08,15,0.19941504918904546,221,6.787330316742081
2022-12-17,15,0.19941504918904546,119,12.605042016806722
2022-10-13,15,0.19941504918904546,368,4.076086956521739
2022-11-02,15,0.19941504918904546,268,5.597014925373134
2022-10-25,15,0.19941504918904546,275,5.454545454545454
2022-10-24,15,0.19941504918904546,260,5.769230769230769
2022-12-19,15,0.19941504918904546,142,10.56338028169014
2023-03-27,15,0.19941504918904546,142,10.56338028169014
2022-11-17,15,0.19941504918904546,203,7.389162561576355
2022-11-07,15,0.19941504918904546,269,5.5762081784386615
2022-10-21,14,0.18612071257644244,301,4.651162790697675
2022-11-24,14,0.18612071257644244,184,7.608695652173914
2022-11-13,14,0.18612071257644244,269,5.204460966542751
2023-03-09,14,0.18612071257644244,187,7.4866310160427805
2023-03-18,14,0.18612071257644244,183,7.650273224043716
2022-11-12,14,0.18612071257644244,244,5.737704918032787
2022-12-27,14,0.18612071257644244,132,10.606060606060606
2022-11-29,14,0.18612071257644244,158,8.860759493670885
2023-01-20,14,0.18612071257644244,198,7.07070707070707
2022-10-12,14,0.18612071257644244,353,3.9660056657223794
2022-11-15,13,0.1728263759638394,229,5.676855895196507
2023-03-15,13,0.1728263759638394,206,6.310679611650485
2022-10-18,13,0.1728263759638394,342,3.8011695906432745
2023-03-30,13,0.1728263759638394,13,100.0
2022-10-22,13,0.1728263759638394,311,4.180064308681672
2022-10-10,13,0.1728263759638394,397,3.27455919395466
2022-12-30,13,0.1728263759638394,138,9.420289855072465
2022-12-25,12,0.15953203935123636,113,10.619469026548673
2023-01-09,12,0.15953203935123636,119,10.084033613445378
2023-03-20,12,0.15953203935123636,187,6.417112299465241
2022-12-26,12,0.15953203935123636,112,10.714285714285714
2022-12-16,12,0.15953203935123636,145,8.275862068965518
2022-12-13,12,0.15953203935123636,163,7.361963190184049
2022-12-23,12,0.15953203935123636,151,7.9470198675496695
2023-01-01,12,0.15953203935123636,117,10.256410256410255
2022-11-05,12,0.15953203935123636,297,4.040404040404041
2022-12-02,12,0.15953203935123636,195,6.153846153846154
2023-01-15,12,0.15953203935123636,140,8.571428571428571
2023-01-22,12,0.15953203935123636,221,5.429864253393665
2023-01-10,12,0.15953203935123636,118,10.16949152542373
2022-12-28,11,0.14623770273863335,110,10.0
2023-02-27,11,0.14623770273863335,262,4.198473282442748
2022-12-31,11,0.14623770273863335,135,8.148148148148149
2022-12-10,11,0.14623770273863335,174,6.321839080459771
2023-03-14,11,0.14623770273863335,203,5.41871921182266
2022-11-26,11,0.14623770273863335,204,5.392156862745098
2022-12-09,10,0.1329433661260303,178,5.617977528089887
2022-12-29,10,0.1329433661260303,148,6.756756756756757
2022-12-20,10,0.1329433661260303,146,6.8493150684931505
2023-01-12,10,0.1329433661260303,116,8.620689655172415
2022-11-08,10,0.1329433661260303,248,4.032258064516129
2023-01-02,10,0.1329433661260303,168,5.952380952380952
2022-12-21,10,0.1329433661260303,137,7.2992700729927
2023-01-13,10,0.1329433661260303,111,9.00900900900901
2023-01-17,10,0.1329433661260303,130,7.6923076923076925
2022-11-10,9,0.11964902951342729,215,4.186046511627907
2023-01-04,9,0.11964902951342729,138,6.521739130434782
2023-01-05,9,0.11964902951342729,115,7.82608695652174
2022-10-26,9,0.11964902951342729,268,3.3582089552238807
2023-01-07,9,0.11964902951342729,142,6.338028169014084
2022-12-14,9,0.11964902951342729,121,7.43801652892562
2022-10-14,9,0.11964902951342729,337,2.6706231454005933
2022-12-15,9,0.11964902951342729,137,6.569343065693431
2022-12-22,8,0.10635469290082426,130,6.153846153846154
2023-01-26,8,0.10635469290082426,219,3.65296803652968
2023-03-31,8,0.10635469290082426,8,100.0
2023-01-14,8,0.10635469290082426,121,6.6115702479338845
2022-11-21,8,0.10635469290082426,193,4.145077720207254
2022-12-24,8,0.10635469290082426,125,6.4
2022-11-16,8,0.10635469290082426,212,3.7735849056603774
2022-12-12,8,0.10635469290082426,158,5.063291139240507
2023-03-22,8,0.10635469290082426,162,4.938271604938271
2023-01-29,7,0.09306035628822122,220,3.1818181818181817
2022-11-30,7,0.09306035628822122,172,4.069767441860465
2023-03-13,7,0.09306035628822122,181,3.867403314917127
