session_id,pid,session_index,gmm_label,max_posterior,normalized_entropy,log_likelihood_row,posterior_cluster_0,posterior_cluster_1,posterior_cluster_2,posterior_cluster_3,posterior_cluster_4
p2761_s0099,p2761,99,3,0.9501476337107908,0.12351225697040619,-6.218924976098913,9.741735122187014e-05,6.923462283949033e-77,0.0497549489355115,0.9501476337107908,2.4757721444694354e-12
p2761_s0100,p2761,100,2,0.9999874783831447,0.00010098822006985806,-5.233007093074584,5.972441464491018e-06,1.7336784295118663e-47,0.9999874783831447,6.549001425027627e-06,1.7396553792147356e-10
p2761_s0101,p2761,101,2,0.999980417301467,0.0001496220330083416,-4.6377971400026325,3.331571158353986e-06,5.020822275523861e-47,0.999980417301467,1.6251125794295713e-05,1.5806342168291601e-12
p2761_s0102,p2761,102,2,0.9999858933693359,0.00011254986482478436,-5.067443522777951,5.606971759204522e-06,2.2450860870348305e-49,0.9999858933693359,8.499565973579365e-06,9.29311229717832e-11
p2761_s0103,p2761,103,2,0.9999837381685347,0.00012796774576935224,-4.952230929037548,5.4622799320482485e-06,3.2380749947422685e-51,0.9999837381685347,1.079949519806281e-05,5.633540597840306e-11
p2761_s0104,p2761,104,2,0.9999870109606661,0.00010442221109083608,-5.165419027521126,5.784678281276262e-06,4.3126770150871e-48,0.9999870109606661,7.204226803934452e-06,1.3424891385188683e-10
p2761_s0105,p2761,105,2,0.8882410756440248,0.2182207663036392,-6.650449236484611,0.0001340656672416982,1.30656203707442e-68,0.8882410756440248,0.11162485712320654,1.5655263590049617e-09
p2761_s0106,p2761,106,1,0.9999999998605711,2.052960151701551e-09,-4.669135221055,1.3936654939663543e-10,0.9999999998605711,5.5887365706697644e-14,6.3962170497874495e-15,6.818902781145309e-21
p2761_s0107,p2761,107,2,0.9117118935951595,0.18648480485514088,-6.875773293758023,0.00022465412415781177,2.554109422971207e-70,0.9117118935951595,0.08806264457380142,8.07706881077189e-07
p2761_s0108,p2761,108,2,0.9999770069121708,0.0001726084960942899,-4.536589222103006,3.1778819172770916e-06,3.121653721497291e-48,0.9999770069121708,1.9815205073480877e-05,8.381819801112666e-13
p2761_s0109,p2761,109,3,0.5226552766320355,0.43047043663499596,-6.902364549530583,7.081315686390835e-05,1.3997590682620115e-64,0.4772739081432354,0.5226552766320355,2.0678656494523507e-09
p2761_s0110,p2761,110,2,0.9997173205644763,0.0016188001853074943,-4.616923896420585,2.2031452626433615e-06,1.180414707236261e-53,0.9997173205644763,0.00028047629026107336,4.2465772115285874e-19
p2761_s0111,p2761,111,2,0.9999863827512532,0.00010687828814195267,-6.579002713683401,1.1551227163056866e-05,2.2183464084979085e-37,0.9999863827512532,2.0618306904127562e-06,4.190893459780294e-09
p2761_s0112,p2761,112,2,0.9999551448200581,0.0003140708189016412,-4.30144927896635,3.1992502895551136e-06,4.5733946185067126e-54,0.9999551448200581,4.1655929473684935e-05,1.7840601051623246e-13
p2761_s0113,p2761,113,0,1.0,-6.898203503519961e-16,-8.574840943872843,1.0,2.429847854388433e-146,1.9853456032064092e-51,8.536564262976792e-44,2.3091327497187138e-30
p2761_s0114,p2761,114,2,0.999877013343369,0.0007750561516473757,-4.295068703583189,3.8493645382922135e-06,5.654370048040156e-61,0.999877013343369,0.00011913729207303378,1.968487874157493e-14
p2761_s0115,p2761,115,3,0.8269560667851011,0.2865234717175219,-7.074703926509576,5.0516195346687e-05,1.865353484606359e-65,0.17299341701916324,0.8269560667851011,3.882943839773265e-13
p2761_s0116,p2761,116,2,0.9999093749570581,0.000589573995028031,-4.250896395767514,3.448113582645141e-06,1.359156504328544e-58,0.9999093749570581,8.71769293303044e-05,2.939366766109791e-14
p2761_s0117,p2761,117,3,0.6439386127251144,0.40501139333599484,-6.914963855389657,7.646885697644476e-05,8.797848675885465e-68,0.3559849165577991,0.6439386127251144,1.8601101616150325e-09
