session_id,pid,session_index,gmm_label,max_posterior,normalized_entropy,log_likelihood_row,posterior_cluster_0,posterior_cluster_1,posterior_cluster_2,posterior_cluster_3
p840_s0010,p840,10,1,0.9999382025458953,0.0005064811740870987,-5.6264233776968124,3.749132222593086e-05,0.9999382025458953,1.6130611107747555e-93,2.4306131878425373e-05
p840_s0011,p840,11,1,0.9998967867642399,0.0007578279814905316,-11.943382035553599,1.69428812909859e-12,0.9998967867642399,1.42333731327867e-110,0.0001032132340659932
p840_s0012,p840,12,1,0.9995410684811488,0.0029823229148990844,-5.0591247962985575,0.00041361316485514485,0.9995410684811488,2.474532104310954e-101,4.531835399595798e-05
p840_s0013,p840,13,1,0.9923825808203777,0.032548466723923204,-6.388106212755552,0.007551053264127654,0.9923825808203777,3.676036611915176e-82,6.636591549516829e-05
p840_s0014,p840,14,3,1.0,-8.008565453897821e-16,-9.380675763561511,5.618986423756893e-43,3.2336219446945263e-24,8.226568906437508e-195,1.0
p840_s0015,p840,15,1,0.9999758677699008,0.00020249864141691517,-5.31768415012011,1.6867224413568807e-09,0.9999758677699008,1.4167459463837202e-134,2.4130543376963993e-05
p840_s0016,p840,16,1,0.999657889123227,0.0022724222989580975,-4.456805833346837,0.00032144867521209934,0.999657889123227,2.817465918346961e-101,2.0662201560700398e-05
p840_s0017,p840,17,1,0.9805618839827026,0.0694334598913798,-5.388573522733499,0.019377382251613274,0.9805618839827026,2.411125152607511e-87,6.0733765684292604e-05
p840_s0018,p840,18,1,0.9986016906803016,0.007695153296011032,-5.323414909149244,0.0013839479843705956,0.9986016906803016,1.2540419548750361e-100,1.4361335328137379e-05
p840_s0019,p840,19,0,0.9995845920212106,0.002645640395932336,-4.456961538375221,0.9995845920212106,0.0004123950861020694,6.127531252576054e-56,3.012892687058084e-06
p840_s0020,p840,20,1,0.9999474351565608,0.00042082567472117276,-5.614937583893124,3.5059704581654282e-06,0.9999474351565608,5.627699307417454e-116,4.905887298087811e-05
p840_s0021,p840,21,1,0.9999808506906201,0.00016998718839429894,-5.369779912792691,3.100325265498431e-06,0.9999808506906201,3.282141689676037e-112,1.604898411481091e-05
